Year,State,Continuum of Care (CoC),HUD CoC Number,"2015 CoC Award Amount 
($0 indicates that an application was not submitted)",AHAR Part 1 CoC Category,Total Non-DV Beds on 2016 HIC ES+TH,Total Non-DV HMIS Beds on 2016 HIC ES+TH,2015 Bed coverage Percent on HMIS for ES-TH Combined,ES-SH Avg (Days),ES-SH Median (Days),ES-SH-TH Avg (Days),ES-SH-TH Median (Days),Total Persons Exited (SO+ES+TH+SH+PH),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total HMIS Count,Total Stayers (persons),Total Stayers increased earned income,Percent Stayers increased earned income,Total Stayers increased non-employment cash income,Percent Stayers increased non-employment cash income,Total Stayers increased total income,Percent Stayers increased total income,Total Leavers (persons),Total Leavers increased earned income,Percent Leavers increased earned income,Total Leavers increased non-employment cash income,Percent Leavers increased non-employment cash income,Total Leavers increased total income,Percent Leavers increased total income,ES-SH-TH 1st Time Homeless,ES-SH-TH-PH 1st Time Homeless,Total Persons Exiting Street Outreach,Total Persons Exited to Temporary Housing,Total Persons Exited to Permanent Housing,Percent with Successful SO Outcome,"Total Persons Exiting ES, TH, SH, PH-RRH","Total Persons Exiting ES, TH, SH, PH-RRH to Permanent Housing",Percent with Successful Exit,Total Persons Exiting PH (but not including PH-RRH),Total Persons Exiting PH (but not including PH-RRH) Residing in PH for 6mos or more or exiting to Permanent Housing,Percent with Successful Retention or Exit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MA,Fall River CoC,MA-515,1775574,"Smaller Cities, Counties, and Regional CoCs",367,328,0.89373297,103,73,107,75,443,19,31,55,4.29E-02,7.00E-02,0.124153499,1289,10,0,0,1,0.1,1,0.1,4,3,0.75,0,0,3,0.75,934,985,0,0,0,NA,1036,570,0.55019305,225,220,0.977777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MA,Massachusetts Balance of State CoC,MA-516,11855946,Balance of State and Statewide CoCs,1478,1344,0.909336942,231,129,234,130,665,10,11,21,1.50E-02,1.65E-02,3.16E-02,5863,206,18,8.74E-02,59,0.286407767,69,0.334951456,71,9,0.126760563,29,0.408450704,35,0.492957746,3136,3237,70,3,0,4.29E-02,4212,947,0.224833808,616,560,0.909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MA,Somerville CoC,MA-517,1922372,"Smaller Cities, Counties, and Regional CoCs",149,149,1,101,48,141,73,139,1,4,6,7.19E-03,2.88E-02,4.32E-02,369,53,7,0.132075472,7,0.132075472,14,0.264150943,15,7,0.466666667,3,0.2,9,0.6,243,286,101,4,5,8.91E-02,268,97,0.361940299,180,158,0.877777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MA,"Attleboro, Taunton/Bristol County CoC",MA-519,798948,"Smaller Cities, Counties, and Regional CoCs",215,185,0.860465116,162,109,192,121,306,7,11,17,2.29E-02,3.59E-02,5.56E-02,452,21,1,4.76E-02,3,0.142857143,4,0.19047619,3,1,0.333333333,2,0.666666667,3,1,277,282,0,0,0,NA,300,150,0.5,84,80,0.952380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Cumberland/Allegany County CoC,MD-500,650648,"Smaller Cities, Counties, and Regional CoCs",111,89,0.801801802,330,304,250,170,78,3,10,11,3.85E-02,0.128205128,0.141025641,89,29,3,0.103448276,4,0.137931034,7,0.24137931,47,4,8.51E-02,12,0.255319149,16,0.340425532,48,90,0,0,0,NA,48,37,0.770833333,137,126,0.919708029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Baltimore CoC,MD-501,21106170,Major Cities,2665,1877,0.704315197,104,43,182,84,1577,89,152,223,5.64E-02,9.64E-02,0.141407736,5249,1093,103,9.42E-02,249,0.227813358,335,0.306495883,575,142,0.246956522,132,0.229565217,253,0.44,3189,3979,626,211,177,0.619808307,4400,1758,0.399545455,2254,2165,0.960514641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Harford County CoC,MD-502,920787,"Smaller Cities, Counties, and Regional CoCs",147,147,1,80,31,135,90,113,4,7,11,3.54E-02,6.19E-02,9.73E-02,401,45,2,4.44E-02,10,0.222222222,10,0.222222222,24,6,0.25,4,0.166666667,10,0.416666667,284,316,8,0,3,0.375,280,97,0.346428571,157,130,0.828025478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Annapolis/Anne Arundel County CoC,MD-503,2303378,"Smaller Cities, Counties, and Regional CoCs",217,217,1,83,54,120,68,398,34,51,85,8.54E-02,0.128140704,0.213567839,934,107,12,0.112149533,28,0.261682243,38,0.355140187,70,17,0.242857143,9,0.128571429,24,0.342857143,590,620,0,0,0,NA,784,375,0.478316327,264,257,0.973484848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Howard County CoC,MD-504,785410,"Smaller Cities, Counties, and Regional CoCs",71,58,0.816901408,126,72,153,79,71,0,6,10,0,8.45E-02,0.14084507,230,44,1,2.27E-02,0,0,1,2.27E-02,3,0,0,2,0.666666667,2,0.666666667,165,167,0,0,0,NA,168,63,0.375,74,74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Baltimore County CoC,MD-505,2766391,"Smaller Cities, Counties, and Regional CoCs",390,390,1,69,55,75,58,975,48,99,185,4.92E-02,0.101538462,0.18974359,2061,128,3,2.34E-02,11,8.59E-02,14,0.109375,73,20,0.273972603,13,0.178082192,30,0.410958904,1443,1612,715,155,84,0.334265734,1844,1129,0.612255965,268,256,0.955223881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Carroll County CoC,MD-506,390453,"Smaller Cities, Counties, and Regional CoCs",111,111,1,102,82,138,90,125,8,15,25,6.40E-02,0.12,0.2,406,25,2,0.08,8,0.32,10,0.4,21,1,4.76E-02,10,0.476190476,11,0.523809524,235,240,40,9,13,0.55,310,120,0.387096774,55,50,0.909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Cecil County CoC,MD-507,244476,"Smaller Cities, Counties, and Regional CoCs",112,112,1,0,0,188,120,43,1,3,4,2.33E-02,6.98E-02,9.30E-02,258,13,0,0,1,7.69E-02,1,7.69E-02,0,0,NA,0,NA,0,NA,172,176,0,0,0,NA,165,83,0.503030303,24,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,"Charles, Calvert, St.Mary's Counties CoC",MD-508,2648561,"Smaller Cities, Counties, and Regional CoCs",170,170,1,84,48,116,72,368,4,8,10,1.09E-02,2.17E-02,2.72E-02,538,126,11,8.73E-02,26,0.206349206,34,0.26984127,97,6,6.19E-02,9,9.28E-02,14,0.144329897,363,604,0,0,0,NA,666,393,0.59009009,329,316,0.960486322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Frederick City & County CoC,MD-509,568257,"Smaller Cities, Counties, and Regional CoCs",231,231,1,76,33,323,155,53,8,11,11,0.150943396,0.20754717,0.20754717,366,35,0,0,5,0.142857143,5,0.142857143,50,9,0.18,18,0.36,21,0.42,195,199,45,1,6,0.155555556,162,97,0.598765432,55,54,0.981818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Garrett County CoC,MD-510,237274,"Smaller Cities, Counties, and Regional CoCs",10,10,1,1,1,205,213,168,5,11,13,2.98E-02,6.55E-02,7.74E-02,41,75,1,1.33E-02,2,2.67E-02,3,0.04,19,1,5.26E-02,0,0,1,5.26E-02,39,162,0,0,0,NA,74,62,0.837837838,29,25,0.862068966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Mid-Shore Regional CoC,MD-511,687157,"Smaller Cities, Counties, and Regional CoCs",86,86,1,44,18,83,25,146,13,18,21,8.90E-02,0.123287671,0.143835616,368,51,1,1.96E-02,13,0.254901961,14,0.274509804,12,0,0,5,0.416666667,5,0.416666667,288,331,50,7,14,0.42,341,143,0.419354839,115,114,0.991304348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Hagerstown/Washington County CoC,MD-512,501992,"Smaller Cities, Counties, and Regional CoCs",166,125,0.753012048,46,31,74,40,96,2,3,6,2.08E-02,3.13E-02,6.25E-02,554,42,0,0,1,2.38E-02,1,2.38E-02,49,5,0.102040816,11,0.224489796,15,0.306122449,407,461,308,11,10,6.82E-02,495,133,0.268686869,147,123,0.836734694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,"Wicomico, Somerset, Worcester Counties CoC",MD-513,1231811,"Smaller Cities, Counties, and Regional CoCs",213,213,1,76,74,93,76,335,35,60,90,0.104477612,0.179104478,0.268656716,954,122,4,3.28E-02,29,0.237704918,29,0.237704918,24,3,0.125,18,0.75,18,0.75,615,817,0,0,0,NA,969,495,0.510835913,308,304,0.987012987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Prince George's County CoC,MD-600,4903772,"Smaller Cities, Counties, and Regional CoCs",422,422,1,78,66,182,95,410,21,26,42,5.12E-02,6.34E-02,0.102439024,1306,92,5,5.43E-02,13,0.141304348,18,0.195652174,115,38,0.330434783,23,0.2,55,0.47826087,830,883,4,0,4,1,885,488,0.551412429,523,491,0.938814532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MD,Montgomery County CoC,MD-601,8288534,"Smaller Cities, Counties, and Regional CoCs",541,541,1,89,46,144,59,890,102,148,205,0.114606742,0.166292135,0.230337079,2675,350,33,9.43E-02,104,0.297142857,125,0.357142857,162,30,0.185185185,40,0.24691358,64,0.395061728,1606,1669,312,89,60,0.477564103,2091,668,0.319464371,1939,1880,0.969571944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,ME,Maine Statewide CoC,ME-500,11810751,Balance of State and Statewide CoCs,2109,1880,0.891417734,68,38,178,62,3303,443,613,777,0.134120497,0.185588859,0.23524069,6984,1164,80,6.87E-02,267,0.229381443,335,0.287800687,424,58,0.136792453,145,0.341981132,185,0.436320755,3563,4015,834,227,289,0.618705036,5512,2431,0.441037736,2846,2655,0.932888264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,Michigan Balance of State CoC,MI-500,8872886,Balance of State and Statewide CoCs,856,649,0.75817757,28,11,39,13,4848,450,666,976,9.28E-02,0.137376238,0.201320132,5389,346,6,1.73E-02,29,8.38E-02,33,9.54E-02,334,31,9.28E-02,60,0.179640719,87,0.260479042,4497,6130,220,27,128,0.704545455,5870,2947,0.502044293,978,863,0.882413088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,Detroit CoC,MI-501,23271331,Major Cities,2133,2112,0.990154712,56,34,100,57,4849,973,1287,1586,0.20065993,0.26541555,0.327077748,8703,1023,21,2.05E-02,58,5.67E-02,71,6.94E-02,942,137,0.145435244,151,0.16029724,271,0.287685775,5273,5869,1492,240,369,0.408176944,7666,3280,0.427863292,2619,2546,0.972126766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",MI-502,3405983,"Smaller Cities, Counties, and Regional CoCs",162,162,1,59,48,85,61,635,25,34,54,3.94E-02,5.35E-02,8.50E-02,877,138,7,5.07E-02,18,0.130434783,25,0.18115942,154,27,0.175324675,9,5.84E-02,34,0.220779221,649,899,0,0,0,NA,897,538,0.599777035,398,396,0.994974874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,"St. Clair Shores, Warren/Macomb County CoC",MI-503,1198139,"Smaller Cities, Counties, and Regional CoCs",309,236,0.763754045,47,27,51,29,543,41,64,103,7.55E-02,0.11786372,0.189686924,1694,43,3,6.98E-02,14,0.325581395,16,0.372093023,44,3,6.82E-02,31,0.704545455,33,0.75,1222,1459,170,50,98,0.870588235,1689,476,0.281823564,139,129,0.928057554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,"Pontiac, Royal Oak/Oakland County CoC",MI-504,5807618,"Smaller Cities, Counties, and Regional CoCs",245,242,0.987755102,56,27,109,44,363,36,50,63,9.92E-02,0.137741047,0.173553719,1059,338,26,7.69E-02,67,0.198224852,87,0.25739645,142,26,0.183098592,45,0.316901408,66,0.464788732,754,1052,323,73,193,0.823529412,1104,694,0.628623188,691,657,0.950795948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,Flint/Genesee County CoC,MI-505,2105600,"Smaller Cities, Counties, and Regional CoCs",280,266,0.95,36,19,55,21,736,95,132,166,0.129076087,0.179347826,0.225543478,1778,130,7,5.38E-02,21,0.161538462,26,0.2,80,5,6.25E-02,21,0.2625,23,0.2875,1326,1461,416,23,30,0.127403846,1621,576,0.355336212,458,453,0.989082969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,"Grand Rapids, Wyoming/Kent County CoC",MI-506,5511453,"Smaller Cities, Counties, and Regional CoCs",684,684,1,72,36,77,41,1564,149,232,367,9.53E-02,0.148337596,0.234654731,3290,402,24,5.97E-02,108,0.268656716,118,0.293532338,364,83,0.228021978,75,0.206043956,149,0.409340659,2270,2970,237,34,37,0.299578059,3317,1595,0.480856195,1635,1552,0.949235474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,"Portage, Kalamazoo City & County CoC",MI-507,1730134,"Smaller Cities, Counties, and Regional CoCs",390,390,1,39,20,53,23,1491,184,298,408,0.123407109,0.199865862,0.273641851,1734,138,8,5.80E-02,25,0.18115942,32,0.231884058,71,5,7.04E-02,25,0.352112676,29,0.408450704,1797,2124,252,142,109,0.996031746,1955,1073,0.548849105,794,772,0.972292191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,"Lansing, East Lansing/Ingham County CoC",MI-508,2551559,"Smaller Cities, Counties, and Regional CoCs",349,261,0.747851003,41,20,46,22,1508,290,419,546,0.192307692,0.277851459,0.362068966,2824,148,7,4.73E-02,28,0.189189189,35,0.236486486,200,25,0.125,35,0.175,57,0.285,1850,1978,352,23,62,0.241477273,2698,784,0.290585619,377,347,0.920424403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,Washtenaw County CoC,MI-509,5733891,"Smaller Cities, Counties, and Regional CoCs",219,209,0.9543379,57,35,67,41,653,158,200,241,0.241960184,0.306278714,0.36906585,1339,246,8,3.25E-02,35,0.142276423,43,0.174796748,176,37,0.210227273,39,0.221590909,69,0.392045455,1158,1323,298,71,101,0.577181208,1645,761,0.462613982,518,499,0.963320463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,Saginaw City & County CoC,MI-510,1806174,"Smaller Cities, Counties, and Regional CoCs",277,277,1,50,20,66,25,913,123,183,250,0.134720701,0.200438116,0.273822563,1620,114,7,6.14E-02,20,0.175438596,24,0.210526316,66,7,0.106060606,20,0.303030303,26,0.393939394,1089,1190,46,29,8,0.804347826,1509,708,0.469184891,359,341,0.949860724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,Lenawee County CoC,MI-511,107596,"Smaller Cities, Counties, and Regional CoCs",58,40,0.689655172,20,7,44,7,200,19,25,31,9.50E-02,0.125,0.155,287,7,1,0.142857143,1,0.142857143,2,0.285714286,5,1,0.2,0,0,1,0.2,237,348,16,15,1,1,396,102,0.257575758,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,"Grand Traverse, Antrim, Leelanau Counties CoC",MI-512,675516,"Smaller Cities, Counties, and Regional CoCs",121,102,0.842975207,54,39,70,40,399,54,75,95,0.135338346,0.187969925,0.238095238,675,42,1,2.38E-02,2,4.76E-02,3,7.14E-02,16,2,0.125,4,0.25,6,0.375,418,457,49,5,37,0.857142857,536,273,0.509328358,157,148,0.942675159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,"Marquette, Alger Counties CoC",MI-513,131967,"Smaller Cities, Counties, and Regional CoCs",24,22,0.916666667,17,13,56,14,104,8,16,22,7.69E-02,0.153846154,0.211538462,159,23,0,0,1,4.35E-02,1,4.35E-02,11,2,0.181818182,0,0,2,0.181818182,145,218,0,0,0,NA,230,163,0.708695652,40,36,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,Battle Creek/Calhoun County CoC,MI-514,305356,"Smaller Cities, Counties, and Regional CoCs",181,141,0.779005525,0,15,0,18,421,94,121,147,0.22327791,0.287410926,0.349168646,986,66,0,0,0,0,0,0,85,7,8.24E-02,9,0.105882353,15,0.176470588,662,755,172,97,51,0.860465116,891,284,0.318742985,298,247,0.82885906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,Monroe City & County CoC,MI-515,129387,"Smaller Cities, Counties, and Regional CoCs",192,156,0.8125,49,36,99,53,319,29,47,70,9.09E-02,0.147335423,0.219435737,719,23,0,0,1,4.35E-02,1,4.35E-02,115,17,0.147826087,3,2.61E-02,20,0.173913043,516,587,0,0,0,NA,640,267,0.4171875,33,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,"Norton Shores, Muskegon City & County CoC",MI-516,571984,"Smaller Cities, Counties, and Regional CoCs",173,159,0.919075145,31,13,57,15,759,121,171,231,0.15942029,0.225296443,0.304347826,1124,18,0,0,0,0,0,0,55,6,0.109090909,5,9.09E-02,10,0.181818182,837,976,90,12,34,0.511111111,1131,568,0.502210433,145,134,0.924137931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,Jackson City & County CoC,MI-517,818093,"Smaller Cities, Counties, and Regional CoCs",152,152,1,42,15,91,26,570,64,92,131,0.112280702,0.161403509,0.229824561,714,43,1,2.33E-02,0,0,1,2.33E-02,30,4,0.133333333,5,0.166666667,8,0.266666667,483,529,204,23,90,0.553921569,626,391,0.624600639,83,82,0.987951807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,Livingston County CoC,MI-518,219006,"Smaller Cities, Counties, and Regional CoCs",43,43,1,9,7,28,7,209,21,33,41,0.100478469,0.157894737,0.196172249,571,9,0,0,4,0.444444444,4,0.444444444,11,1,9.09E-02,1,9.09E-02,2,0.181818182,458,485,33,5,28,1,491,171,0.348268839,44,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,Holland/Ottawa County CoC,MI-519,1017437,"Smaller Cities, Counties, and Regional CoCs",297,287,0.966329966,47,24,89,34,640,133,169,223,0.2078125,0.2640625,0.3484375,1148,36,1,2.78E-02,8,0.222222222,8,0.222222222,12,1,8.33E-02,0,0,1,8.33E-02,770,788,0,0,0,NA,919,462,0.502720348,124,119,0.959677419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,MI,Eaton County CoC,MI-523,929250,"Smaller Cities, Counties, and Regional CoCs",82,79,0.963414634,29,8,92,28,231,5,13,19,2.16E-02,5.63E-02,8.23E-02,347,26,3,0.115384615,5,0.192307692,8,0.307692308,24,10,0.416666667,5,0.208333333,14,0.583333333,259,455,0,0,0,NA,606,509,0.839933993,28,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
