Year,State,Continuum of Care (CoC),HUD CoC Number,"2015 CoC Award Amount
($0 indicates that an application was not submitted)",AHAR Part 1 CoC Category,Total Non-DV Beds on 2016 HIC ES+TH,Total Non-DV HMIS Beds on 2016 HIC ES+TH,2015 Bed coverage Percent on HMIS for ES-TH Combined,ES-SH Avg (Days),ES-SH Median (Days),ES-SH-TH Avg (Days),ES-SH-TH Median (Days),Total Persons Exited (SO+ES+TH+SH+PH),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total HMIS Count,Total Stayers (persons),Total Stayers increased earned income,Percent Stayers increased earned income,Total Stayers increased non-employment cash income,Percent Stayers increased non-employment cash income,Total Stayers increased total income,Percent Stayers increased total income,Total Leavers (persons),Total Leavers increased earned income,Percent Leavers increased earned income,Total Leavers increased non-employment cash income,Percent Leavers increased non-employment cash income,Total Leavers increased total income,Percent Leavers increased total income,ES-SH-TH 1st Time Homeless,ES-SH-TH-PH 1st Time Homeless,Total Persons Exiting Street Outreach,Total Persons Exited to Temporary Housing,Total Persons Exited to Permanent Housing,Percent with Successful SO Outcome,"Total Persons Exiting ES, TH, SH, PH-RRH","Total Persons Exiting ES, TH, SH, PH-RRH to Permanent Housing",Percent with Successful Exit,Total Persons Exiting PH (but not including PH-RRH),Total Persons Exiting PH (but not including PH-RRH) Residing in PH for 6mos or more or exiting to Permanent Housing,Percent with Successful Retention or Exit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AR,Fayetteville/Northwest Arkansas CoC,AR-501,394778,"Smaller Cities, Counties, and Regional CoCs",411,253,0.615571776,19,9,44,11,200,25,41,47,0.125,0.205,0.235,996,16,0,0,0,0,0,0,60,8,0.133333333,4,6.67E-02,11,0.183333333,750,819,0,0,0,NA,975,271,0.277948718,88,76,0.863636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AR,Arkansas  Balance of State  CoC,AR-503,397224,Balance of State and Statewide CoCs,450,295,0.655555556,56,15,61,16,195,21,30,37,0.107692308,0.153846154,0.18974359,1691,10,0,0,0,0,0,0,30,8,0.266666667,0,0,8,0.266666667,1138,1141,0,0,0,NA,1150,331,0.287826087,32,28,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AR,Southeast Arkansas,AR-505,292022,"Smaller Cities, Counties, and Regional CoCs",106,0,0,28,8,28,8,45,6,7,9,0.133333333,0.155555556,0.2,282,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,230,230,0,0,0,NA,267,74,0.277153558,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AR,Old Fort Homeless Coalition,AR-508,0,"Smaller Cities, Counties, and Regional CoCs",134,0,0,24,7,33,8,44,7,12,17,0.159090909,0.272727273,0.386363636,580,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,439,439,0,0,0,NA,441,25,5.67E-02,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AR,"Boone, Baxter, Marion, Newton Counties CoC",AR-512,0,"Smaller Cities, Counties, and Regional CoCs",0,0,NA,0,0,141,70,24,1,1,1,4.17E-02,4.17E-02,4.17E-02,57,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,45,45,0,0,0,NA,42,22,0.523809524,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AZ,Arizona Balance of State CoC,AZ-500,4010427,Balance of State and Statewide CoCs,806,713,0.884615385,74,22,106,29,1083,133,178,238,0.122807018,0.164358264,0.219759926,3596,339,23,6.78E-02,91,0.268436578,112,0.330383481,243,52,0.21399177,46,0.189300412,92,0.378600823,2327,3424,85,9,25,0.4,3819,1491,0.390416339,825,773,0.936969697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AZ,Tucson/Pima County CoC,AZ-501,8428109,Major Cities,1871,1845,0.986103688,42,15,110,36,2315,312,479,564,0.134773218,0.206911447,0.24362851,5530,205,11,5.37E-02,60,0.292682927,68,0.331707317,319,83,0.260188088,28,8.78E-02,106,0.332288401,3247,3547,423,122,48,0.401891253,4723,1646,0.348507305,1032,980,0.949612403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,AZ,Phoenix/Mesa/Maricopa County Regional CoC,AZ-502,26882333,Major Cities,3752,3107,0.828091684,58,30,99,47,3594,279,461,650,7.76E-02,0.128269338,0.180856984,15167,2275,98,4.31E-02,1017,0.447032967,1078,0.473846154,1114,256,0.229802513,264,0.236983842,489,0.438958707,9498,10479,4587,495,312,0.175931982,12675,4035,0.318343195,5278,4950,0.937855248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CA,San Jose/Santa Clara City & County CoC,CA-500,20204762,Major Cities,1943,1883,0.969119918,39,12,94,30,1510,160,238,316,0.105960265,0.157615894,0.209271523,6116,419,2,4.77E-03,4,9.55E-03,5,1.19E-02,433,85,0.19630485,65,0.150115473,131,0.302540416,3566,4297,270,3,15,6.67E-02,5332,1225,0.229744936,1451,1387,0.955892488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,CA,San Francisco CoC,CA-501,30968697,Major Cities,2419,1829,0.756097561,303,240,316,262,6930,276,605,976,3.98E-02,8.73E-02,0.140836941,7832,3731,52,1.39E-02,823,0.220584294,875,0.234521576,828,33,3.99E-02,170,0.20531401,203,0.245169082,2904,3396,0,0,0,NA,5436,689,0.126747609,6965,6516,0.935534817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
